은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
4910,1091,714,1633,0,17,189,66,0,0,37,0,0,0,0,0,3,1,0
4949,1088,714,1633,0,17,189,66,0,0,37,0,0,0,0,0,3,1,0
4902,1074,713,1598,0,17,189,66,0,0,37,0,0,0,0,0,3,1,0
4701,830,718,1611,0,17,189,66,0,0,31,0,0,0,0,0,3,1,0
4979,708,708,1774,0,47,0,0,0,12,10,0,0,0,0,0,0,0,0
4939,641,816,1855,8,47,0,0,0,13,15,0,0,0,0,0,15,0,30
4956,624,882,1858,8,47,23,0,0,13,15,0,0,0,0,0,15,0,30
4952,611,863,1895,8,46,23,0,0,13,15,0,0,0,0,0,15,0,45
4993,603,788,1941,6,61,32,0,0,1,18,0,0,0,0,236,15,0,46
4992,600,788,1945,6,61,32,0,0,1,18,0,0,0,0,234,15,0,47
4982,542,788,1942,6,61,32,0,0,1,18,0,0,0,0,234,15,0,66
4992,432,787,2003,6,61,32,0,0,1,15,0,0,0,0,234,15,0,47
5003,427,781,2143,6,61,32,0,0,1,15,0,0,0,0,234,15,0,47
4914,323,779,2095,6,61,32,0,0,1,15,0,0,0,0,214,15,0,47
