은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
3498,4587,506,284,86,91,139,14,1,77,52,19,37,0,0,0,0,1,156,6
3531,4555,504,284,85,91,145,13,1,77,51,19,5,0,0,0,0,1,222,6
3524,4519,504,284,85,91,145,13,1,77,51,19,5,0,0,0,0,1,222,6
3560,4468,505,284,85,91,156,13,38,77,51,19,5,0,27,0,0,1,224,58
3590,4117,812,292,0,85,170,8,37,7,48,19,0,0,26,1,0,1,300,187
3735,4039,866,272,0,87,155,10,37,7,46,19,0,1,27,1,0,0,311,104
3778,4034,866,272,0,87,155,10,37,7,46,19,0,1,27,1,0,0,310,104
3762,3981,862,285,0,87,154,9,37,7,46,19,0,1,27,1,0,0,306,104
3772,3899,867,458,0,87,152,9,37,7,44,19,0,1,27,1,0,0,403,483
3762,3876,890,762,0,60,148,9,30,7,43,19,0,1,23,1,0,0,444,472
3746,3585,848,744,0,60,148,8,36,7,40,19,0,1,26,1,0,0,989,456
3748,3533,848,744,0,60,146,7,36,7,39,19,0,1,26,1,0,0,1025,456
3741,3363,846,744,0,60,146,7,34,7,37,19,0,1,26,1,0,0,1169,456
3749,3342,855,747,0,60,143,7,38,7,37,19,0,1,26,1,0,0,1176,456
