은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
2221,1708,400,685,16,140,15,0,0,0,0,0,0,0,0,0,0,0,295,130
2206,1392,650,685,1,140,10,0,0,0,0,0,0,0,0,0,22,0,295,130
2166,1171,650,721,1,140,10,0,0,0,0,0,0,0,0,0,22,0,293,130
2166,1123,899,721,1,140,10,0,0,0,0,0,0,0,0,0,22,0,293,130
2166,1123,910,728,1,140,10,0,0,0,0,0,0,0,0,0,22,0,293,130
2174,937,1025,729,0,96,9,0,0,0,0,0,0,0,0,0,0,0,383,129
2168,932,1081,728,0,99,9,0,0,0,0,0,0,0,0,0,0,0,386,130
2169,926,1103,730,0,96,9,0,0,0,0,0,0,0,0,0,0,0,387,130
2166,931,1112,730,0,96,9,0,0,0,0,0,0,0,0,0,0,0,394,130
2203,937,1317,1142,0,114,9,0,0,0,0,0,0,0,0,206,7,0,393,685
2207,941,1312,1143,0,114,9,0,0,0,0,0,0,0,0,206,7,0,403,794
2191,930,1314,1142,0,114,9,0,0,0,0,0,0,0,0,206,7,0,403,794
2186,919,1316,1133,0,99,8,0,0,0,0,0,0,0,0,206,7,0,405,794
2178,829,1421,1127,0,116,8,0,0,0,0,0,0,0,0,206,7,0,397,794
