은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
4696,2339,350,861,0,1,646,1,4,14,0,7,13,0,0,27,0,0,52,6
4691,2298,350,876,0,1,638,1,3,14,0,7,13,0,0,27,0,0,80,6
4681,2295,351,885,0,1,635,1,3,14,0,7,13,0,0,27,0,0,121,6
4681,2287,394,885,0,1,635,1,3,14,0,7,13,0,0,27,0,0,121,6
4679,2299,394,903,0,1,645,1,3,14,0,7,13,0,0,27,0,0,121,6
4527,2133,898,1953,0,17,376,7,9,0,0,16,0,0,0,26,0,0,454,54
4352,2078,898,2092,0,17,334,7,9,0,0,16,0,0,0,26,0,0,467,251
4220,2039,950,2102,0,17,300,7,9,0,0,16,0,0,0,27,0,0,545,268
4255,1923,950,2087,0,17,297,7,8,0,0,16,0,0,0,29,4,0,545,1072
4244,1902,949,2064,0,17,297,7,8,0,0,16,0,0,0,29,4,0,544,1111
4230,1873,951,2101,0,17,295,7,8,0,0,16,0,0,0,29,4,0,544,1111
4189,1844,954,2105,0,17,294,7,8,0,0,16,0,0,0,29,4,0,560,1140
4140,1824,957,2149,0,17,289,7,8,0,0,16,0,0,0,29,4,0,584,1173
4324,1653,680,1748,0,16,422,0,0,0,0,9,0,0,0,3,0,0,443,582
