은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
3307,1245,98,503,433,0,226,0,0,0,5,0,0,153,0,0,316,0,164,0
3304,1240,98,503,416,0,226,0,0,0,5,0,0,153,0,0,323,0,164,0
3312,1234,98,523,409,0,226,0,0,0,5,0,0,153,0,0,323,0,164,95
3212,1034,98,340,393,0,226,0,0,0,5,0,0,153,0,0,691,0,351,95
3180,1028,98,340,349,0,226,0,0,0,5,0,0,153,0,0,689,0,351,95
3183,1004,98,340,343,0,140,0,0,0,5,0,0,153,0,0,797,0,351,95
3173,989,98,340,328,0,139,0,0,0,5,0,0,153,0,0,792,0,350,95
3211,976,98,340,314,0,135,0,0,0,5,0,0,152,0,0,797,0,359,95
3192,993,98,337,304,0,133,0,0,0,5,0,0,151,0,0,795,0,369,115
3378,997,225,497,299,0,127,0,0,0,5,0,0,143,0,0,980,0,470,372
3357,957,245,495,291,0,121,0,0,0,5,0,0,141,0,0,990,0,513,403
3419,946,277,492,285,0,119,0,0,0,5,0,0,140,0,0,1049,0,527,411
3492,938,275,492,284,0,116,0,0,0,5,0,0,140,0,0,976,0,529,410
3510,934,324,497,284,0,103,0,0,0,5,0,0,140,0,0,1007,0,575,410
