은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
7394,5963,2277,436,22,90,85,0,11,206,0,14,0,0,0,0,0,0,59,173
7351,5930,2272,479,22,90,85,0,11,206,0,14,0,0,0,0,0,0,58,172
7351,5873,2286,615,22,90,84,0,11,206,0,14,0,0,0,0,0,0,58,162
6783,5622,2845,719,22,90,84,0,11,206,0,14,0,0,0,0,0,0,58,162
6623,5437,2731,741,22,90,87,0,10,206,0,14,0,0,0,0,0,0,58,146
5777,5681,2565,1419,0,0,56,0,0,0,0,0,0,0,0,0,0,0,390,125
5745,5596,2561,1413,0,0,56,0,0,0,0,0,0,0,0,0,0,0,406,129
5702,5439,2204,1348,0,0,55,0,0,0,0,0,0,0,0,0,0,0,414,123
5729,5328,2212,1343,0,0,55,0,0,0,0,0,0,0,0,0,0,0,418,124
5722,5286,2207,1343,0,0,55,0,0,0,0,0,0,0,0,0,0,0,471,1345
5696,5013,2243,1494,0,0,55,0,0,0,0,0,0,0,0,0,0,0,568,1345
5734,4805,2281,1426,0,0,56,0,0,0,0,0,0,0,0,0,0,0,564,1652
5589,4486,2253,1332,0,0,54,0,0,0,0,0,0,0,0,0,0,0,559,1651
5474,4284,2417,2309,0,0,57,0,0,0,0,0,0,0,0,0,0,0,642,1969
