은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
7135,10918,1320,326,0,919,547,0,0,4,0,0,17,0,0,0,0,0,0
7234,10598,1425,422,0,919,546,0,0,4,7,0,17,0,0,0,0,0,0
7367,9844,1800,578,0,919,546,0,0,4,24,0,17,0,0,0,0,0,0
8112,8371,1941,1134,0,915,460,0,0,0,42,0,11,0,0,0,0,0,30
8139,8339,1999,1135,0,915,480,0,0,0,48,0,11,0,0,0,0,0,30
7973,8161,2032,1067,0,872,480,0,0,0,48,0,0,0,0,0,0,0,30
8155,8099,2060,1067,0,866,488,0,0,0,47,0,0,0,0,0,0,0,30
8160,8058,2324,1270,0,866,499,0,0,0,55,0,0,0,0,0,0,0,210
8106,8034,2370,1300,0,868,517,0,0,0,56,0,0,0,0,0,0,0,240
7996,7887,2642,1363,0,867,508,0,0,0,65,0,0,0,0,0,0,0,240
7980,7725,2803,2191,0,867,518,0,0,0,65,0,0,0,0,0,0,0,624
8014,7713,2839,2191,0,867,530,0,0,0,65,0,0,0,0,0,0,0,629
7256,7633,2984,2443,0,865,524,0,0,0,65,0,0,0,0,0,0,0,768
7210,7559,2991,2455,0,864,524,0,0,0,65,0,0,0,0,0,0,0,768
