은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
3886,1294,263,954,0,39,158,0,91,0,0,7,21,0,0,0,0,0,0,1
3937,1283,261,947,0,39,173,0,91,0,0,7,21,0,0,0,0,0,0,1
3869,1287,264,966,0,32,172,0,91,0,0,7,21,0,0,0,0,0,13,1
3851,1281,264,960,0,31,172,0,91,0,0,7,21,0,0,0,0,0,13,1
3926,1277,252,951,0,32,172,0,8,0,0,7,21,0,0,0,0,0,59,1
3786,1210,354,975,0,32,170,0,36,0,0,7,0,0,0,0,0,0,95,19
3801,1173,354,1053,0,32,173,0,28,0,0,7,0,0,0,0,0,0,111,18
3780,1079,353,1088,0,32,170,0,28,0,0,7,0,0,0,0,0,0,146,18
3752,1072,353,1092,0,32,180,0,28,0,0,7,0,0,0,0,0,0,157,18
3771,1063,345,1065,0,32,175,0,27,0,0,7,0,0,0,0,5,0,158,89
3699,1061,380,1125,0,32,175,0,27,0,0,7,0,0,0,0,5,0,173,66
3638,1048,411,1112,0,32,178,0,27,0,0,7,0,0,0,0,5,0,173,66
3613,1041,412,1106,0,32,176,0,27,0,0,7,0,0,0,0,5,0,185,69
3545,1024,407,1123,0,35,177,0,27,0,0,7,0,0,0,0,5,0,184,69
