은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
4095,2580,1300,695,154,34,0,0,0,36,0,0,0,0,0,0,0,0,0
4094,2341,1329,778,150,34,0,0,0,36,0,0,0,0,0,0,0,0,66
3979,2316,1324,869,133,3,0,0,0,36,0,0,0,0,0,0,0,0,289
4094,2341,1329,829,150,34,0,0,0,36,0,0,0,0,0,0,0,0,66
3942,2179,1377,946,131,3,0,0,0,26,0,0,0,0,0,0,0,0,324
3433,1828,1689,1481,17,3,0,0,0,5,0,0,0,0,0,0,4,0,462
3497,1815,1652,1474,14,3,0,0,0,5,0,0,0,0,0,0,4,0,952
3494,1660,1718,1607,14,3,0,0,0,5,0,0,0,0,0,0,4,0,995
3628,1698,1716,1836,14,3,0,0,0,5,0,0,0,0,0,0,4,0,1021
3634,1693,1729,1966,14,3,0,0,0,5,0,15,0,0,0,0,30,21,1014
3625,1601,1787,1955,13,3,0,0,0,5,0,15,0,0,0,0,30,26,1071
3621,1596,1846,1986,13,3,0,0,0,5,0,17,0,0,0,0,30,26,1078
3619,1588,1859,1986,13,3,0,0,0,5,0,17,0,0,0,0,30,26,1082
3594,1527,1884,2157,13,3,0,0,0,5,0,17,0,0,0,0,30,26,1082
