은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
2662,2790,176,658,156,129,135,0,234,7,0,0,0,0,0,0,71,0,5,39
2662,2522,176,1075,156,129,123,0,234,7,0,0,0,0,0,0,82,0,5,39
2218,2565,176,1093,156,129,123,0,234,0,0,0,0,0,0,0,82,0,5,51
2261,2518,130,1482,147,104,47,0,234,0,0,0,0,0,0,0,105,0,10,73
2269,2471,194,2123,0,96,75,0,264,0,0,0,0,0,0,0,104,0,11,181
2265,2408,189,2115,0,68,88,0,264,0,0,0,0,0,0,0,104,0,21,219
2256,2390,186,2106,0,68,86,0,259,0,0,0,0,0,0,0,102,0,38,213
2254,2381,186,2196,0,67,85,0,254,0,0,0,0,0,0,0,75,0,38,227
2285,2375,186,2216,0,67,102,0,253,0,0,0,0,0,0,0,75,0,38,231
2198,2370,182,2184,0,95,101,0,249,0,0,0,0,0,0,400,75,0,38,1110
2202,2357,182,2168,0,95,100,0,249,0,0,0,0,0,0,1120,59,0,40,1184
2194,2289,179,2182,0,95,109,0,249,0,0,0,0,0,0,1120,59,0,59,1196
2100,2211,179,2211,0,95,150,0,219,0,0,0,0,0,0,1120,59,0,153,1195
2280,2188,185,2416,0,95,149,0,219,0,0,0,0,0,0,1120,59,0,249,1194
