은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
4549,1617,541,156,31,33,103,52,0,0,7,4,5,0,0,88,198,0,21,13
4543,1616,540,175,31,33,104,52,0,1,7,4,5,0,0,88,198,0,21,15
4438,1600,547,177,31,32,105,52,0,1,7,4,5,0,0,88,198,0,22,54
4215,1396,547,285,11,32,117,51,0,7,7,0,6,0,0,87,301,0,21,57
4177,1380,541,287,11,32,117,50,0,7,7,0,6,0,0,87,301,0,21,1447
5499,1392,555,344,11,32,117,51,0,7,0,0,5,0,0,87,303,0,21,64
5498,1370,547,369,11,32,117,46,0,7,0,17,5,0,0,87,299,0,21,64
5505,1368,562,375,11,32,117,46,0,7,7,17,5,0,0,87,299,0,42,57
5535,1354,562,375,11,32,117,18,75,7,7,18,5,0,0,87,299,0,45,242
5349,1342,675,444,11,32,130,18,75,7,4,18,5,0,0,87,285,0,90,199
5300,1256,680,444,11,32,148,18,75,7,4,18,5,0,0,87,278,0,94,199
5339,1230,684,499,11,32,146,18,75,7,4,18,5,0,0,87,278,0,177,199
5351,1221,679,502,11,32,140,18,75,7,4,18,5,0,0,87,281,0,177,194
4072,1071,619,421,0,1,140,1,0,8,0,17,0,0,0,0,239,0,711,29
