은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
4896,911,653,132,0,0,507,15,0,0,10,0,1,0,25,0,111,0,323
4618,746,622,131,0,0,473,7,0,0,10,0,0,0,25,0,608,0,323
4285,527,483,251,0,0,405,7,0,0,9,0,0,0,25,0,1179,0,322
4129,409,483,251,0,0,243,5,0,0,9,0,0,0,25,0,1794,0,321
4066,326,479,251,0,0,207,4,0,0,9,17,0,0,0,0,2062,0,321
4117,246,402,251,0,0,267,2,0,0,9,0,0,0,15,0,2128,0,338
4104,244,425,249,0,0,268,0,0,0,9,0,0,0,22,0,2129,0,334
4093,241,423,257,0,0,267,0,0,0,9,0,0,0,22,0,2114,0,342
4075,240,421,252,0,0,263,0,0,0,9,0,0,0,22,46,2136,0,396
4009,232,430,271,0,0,256,0,0,0,9,0,0,0,22,46,2084,0,392
3698,180,472,328,0,0,222,0,0,0,7,0,0,0,22,46,2101,0,387
3655,165,461,290,0,0,204,0,0,0,7,0,0,0,22,46,2122,0,449
3646,165,461,289,0,0,185,0,0,0,7,0,0,0,22,46,2134,0,470
3640,162,460,289,0,0,176,0,0,0,7,0,0,0,21,46,2162,0,470
