은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
2664,3106,459,0,85,264,0,78,0,0,0,85,0,0,0,0,0,0,20,421
2733,3090,460,0,67,275,0,65,0,0,0,85,0,0,0,0,0,0,20,421
2645,3071,296,0,67,282,0,65,0,0,0,85,0,0,0,0,0,0,90,421
2732,3097,296,0,57,282,0,0,0,0,0,85,0,0,0,0,0,0,128,436
2732,3135,297,0,57,282,0,0,0,0,0,85,0,0,0,0,0,0,133,436
2849,2802,301,87,61,223,1,0,47,0,0,82,0,0,0,0,1,0,126,400
2821,2812,334,109,61,223,1,0,47,0,0,82,0,0,0,0,1,0,124,402
2851,2835,332,213,57,229,1,0,47,0,0,82,0,0,0,0,1,0,124,411
2933,2883,331,249,57,230,1,0,52,0,0,82,0,0,0,0,6,0,167,1159
2912,2828,341,295,57,219,1,0,52,0,0,82,0,0,0,0,6,0,167,1159
2918,2820,341,294,57,219,1,0,52,0,0,82,0,0,0,0,5,0,166,1159
2907,2809,346,345,57,219,1,0,52,0,0,82,0,0,0,0,5,0,173,1159
2924,2804,345,345,57,219,1,0,52,0,0,82,0,0,0,0,5,0,173,1159
2774,2759,471,354,0,74,0,0,52,0,0,0,0,0,0,212,64,0,449,1156
