은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
3438,4394,2102,368,0,260,842,0,171,0,0,0,0,0,56,0,0,89,278
3529,4007,2031,657,0,308,911,0,113,0,0,0,0,0,61,0,0,0,383
3548,3813,2099,828,0,276,926,0,124,0,0,0,0,0,63,0,0,0,414
3348,3805,2116,839,0,276,985,0,124,0,0,0,0,0,63,0,0,93,429
3368,3776,2831,861,0,474,991,0,126,0,0,0,0,0,64,0,117,93,748
3379,3792,2924,863,0,474,993,0,126,0,0,0,0,0,64,0,117,93,745
3372,3788,2924,863,0,474,993,0,126,0,0,0,0,0,64,0,117,93,745
3377,3765,2913,863,0,474,993,0,126,0,0,0,0,0,64,0,123,93,768
3373,3719,3006,880,0,474,1003,0,126,0,0,0,0,0,64,0,123,93,1148
3364,3663,3025,883,0,474,986,0,126,0,0,0,0,0,64,0,123,93,1227
3351,3634,3040,884,0,474,983,0,126,0,0,0,0,0,64,0,109,93,1219
3348,3627,3040,933,0,474,983,0,126,0,0,0,0,0,64,0,124,93,1220
3348,3595,3060,968,0,474,970,0,126,0,0,0,0,0,64,0,124,93,1280
3353,3581,3056,1096,0,474,967,0,102,0,0,0,0,0,64,0,124,93,1280
