은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
6969,4366,892,795,0,220,75,0,0,0,0,0,0,0,50,0,5,0,0,880
6966,4202,892,794,0,327,75,0,0,0,0,0,0,0,50,0,5,0,0,880
6966,3884,989,832,0,327,75,0,0,0,0,0,0,0,50,0,5,0,0,880
6966,3733,989,985,0,327,75,0,0,0,0,0,0,0,50,0,5,0,0,880
5992,3718,1252,1628,0,271,116,0,1,0,0,0,0,26,58,0,29,1,86,904
6550,3535,1135,1474,0,281,41,0,1,0,0,0,0,26,58,0,32,1,72,566
6547,3534,1135,1489,0,281,41,0,1,0,0,0,0,26,58,0,32,1,72,565
6543,3527,1135,1488,0,281,41,0,1,0,0,0,0,26,58,0,32,1,72,565
6540,3506,1133,1497,0,280,41,0,1,0,0,0,0,26,58,150,32,1,132,1072
6535,3505,1133,1497,0,280,41,0,1,0,0,0,0,26,58,150,32,1,132,1071
6514,3404,1133,1556,0,280,41,0,1,0,0,0,0,26,58,150,32,1,132,1067
6511,3396,1133,1632,0,278,41,0,1,0,0,0,0,26,58,150,32,1,132,1067
6507,3361,1166,1602,0,285,41,0,1,0,0,0,0,26,58,150,32,1,132,1076
6505,3336,1165,1612,0,285,41,0,1,0,0,0,0,26,58,150,32,1,142,1135
