은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
4779,7690,2705,287,0,960,146,530,2,0,0,332,0,0,0,0,0,0,0,84
4223,7567,2926,235,0,1221,126,457,0,0,34,305,0,0,0,0,0,0,0,55
3963,7301,2973,257,0,1221,126,457,0,0,34,304,0,0,0,0,0,0,15,61
3782,6216,3026,254,0,1148,453,461,0,0,0,397,0,0,0,0,0,0,90,626
3778,6181,2896,255,0,1155,448,178,0,0,0,657,0,0,0,0,0,0,151,652
3749,6127,2908,255,0,1150,446,178,0,0,0,667,0,0,0,0,0,0,164,624
3745,6108,2907,255,0,1145,442,178,0,0,0,676,0,0,0,0,0,0,165,628
3774,6009,2981,255,0,1166,471,11,0,0,0,748,0,0,0,0,0,0,165,628
3792,5952,2945,255,0,1163,473,11,0,0,0,745,0,0,0,0,0,0,168,642
3802,5861,3472,255,0,1160,480,11,0,0,0,742,0,0,0,91,0,0,406,1116
3810,5844,3480,255,0,1166,477,11,0,0,0,733,0,0,0,91,0,0,404,1114
3782,5784,3458,254,0,1161,478,11,0,0,0,729,0,0,0,91,0,0,403,1124
3884,5719,3434,252,0,1156,503,11,0,0,0,738,0,0,0,91,0,0,426,1140
3800,5036,3409,254,0,1159,478,11,0,0,0,721,0,0,0,91,0,0,446,1143
