은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
2735,2477,492,687,173,70,84,9,60,0,8,0,1,0,0,0,0,0,105,91
2702,2426,492,845,160,70,69,9,60,0,8,0,1,0,0,0,0,0,119,91
2770,2353,598,871,147,71,67,9,86,0,8,0,1,0,0,0,35,0,191,91
2776,2315,600,936,147,71,67,6,86,0,8,0,1,0,0,0,35,0,277,88
2876,2196,625,1040,69,70,67,5,86,0,8,0,1,0,0,0,35,0,277,88
2963,2164,625,1031,65,70,66,5,85,0,8,0,1,0,0,0,35,0,275,88
2959,2155,613,1037,64,70,66,5,85,0,8,0,1,0,0,0,35,0,272,88
2971,1592,784,1472,75,66,54,5,79,0,4,0,0,0,0,0,43,0,431,30
2990,1570,806,1480,68,66,38,5,93,0,4,0,0,0,9,5,117,0,447,641
2751,1615,825,1645,75,65,38,5,91,0,4,0,0,0,9,5,99,0,495,634
2743,1603,823,1640,68,65,38,5,91,0,4,0,0,0,9,5,97,0,495,549
2742,1565,821,1632,68,65,38,5,91,0,4,0,0,0,9,5,97,0,501,549
2739,1400,969,1645,68,65,38,0,91,0,4,0,0,0,9,5,97,0,698,549
2722,1282,1014,1656,66,65,38,0,91,0,4,0,0,0,9,5,97,0,853,547
