은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
1226,3418,1245,428,29,50,469,84,128,1,0,1,3,37,0,0,62,0,28,150
1217,3389,1357,428,29,49,468,84,130,1,0,1,3,37,0,0,62,0,140,149
1192,3287,1408,434,29,49,427,43,130,0,0,1,3,56,0,0,62,0,143,150
1191,3160,1490,434,29,49,429,43,150,0,0,1,3,56,0,0,62,0,143,147
1191,3123,1535,434,29,49,429,43,150,0,0,1,3,56,0,0,62,0,143,146
1177,3124,1595,422,29,49,405,43,150,0,0,1,3,56,0,0,53,0,143,146
1149,2987,1741,422,29,49,403,43,150,0,0,1,3,56,0,0,53,0,143,154
1159,2807,1886,386,29,49,398,42,151,0,0,1,3,56,0,0,53,0,164,216
1158,2723,1911,386,29,49,440,34,151,0,0,1,3,61,0,0,53,0,297,320
1137,2674,1961,386,29,49,470,33,150,0,0,1,3,61,0,0,53,0,297,320
1159,2527,2019,529,29,49,465,33,148,0,0,1,3,61,0,0,53,0,405,366
1134,2453,1999,560,29,49,411,33,148,0,0,1,3,61,0,0,53,0,562,610
1133,2449,1990,580,29,49,356,33,146,0,0,1,3,60,0,0,53,0,590,608
1090,2401,1975,602,29,48,325,33,146,0,0,1,3,59,0,0,53,0,709,646
