은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
118358,91885,24760,15769,1733,5303,9258,875,839,525,719,840,160,878,242,242,873,224,2932,3828
117799,88312,25825,17527,1571,5756,9288,780,755,526,899,933,123,878,205,242,1428,135,3601,3916
116478,85631,26437,18904,1478,5689,9019,736,788,514,899,965,123,655,197,115,2286,133,4175,4220
115763,81162,27721,20527,1423,5615,9142,669,913,516,876,1046,118,655,224,114,3521,238,4742,4687
114574,79449,29899,22648,1035,5741,9000,311,863,360,853,1398,82,673,189,115,3951,215,5809,6444
114852,74773,31798,25526,776,5268,8791,303,925,83,854,1356,26,670,205,114,4102,220,8874,4789
114576,72970,32040,26188,748,5249,8759,291,899,83,836,1387,15,670,211,114,4096,220,9978,5146
114198,70927,32529,27613,739,5290,8713,120,897,83,874,1500,12,667,211,115,4065,221,10610,5114
114060,70121,32959,28543,704,5361,8707,84,1011,31,871,1540,12,671,240,554,4111,334,11846,11629
113173,69075,34456,29883,694,5362,8667,83,996,31,965,1508,12,663,236,1505,4319,374,13281,17861
112303,67357,34776,31711,671,5364,8379,82,1008,31,961,1515,12,536,235,2295,4369,377,15140,19018
111791,66183,35410,32134,654,5342,7876,81,1007,31,944,1538,12,515,235,2295,4525,377,15974,20048
109784,64807,35880,32661,617,5316,7871,76,972,31,956,1530,12,525,235,2295,4430,377,17639,20273
108050,62474,37473,34150,545,5171,7816,52,871,32,948,1533,7,504,234,2374,4539,378,20088,20112
