은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
13085,7085,704,27,0,0,0,0,0,0,483,168,0,0,1,0,107,0,199,165
13080,6343,858,122,0,20,0,0,0,0,619,297,0,0,1,0,107,0,199,142
13080,6250,858,333,0,20,0,0,0,0,619,297,0,0,1,0,107,0,199,142
12952,6174,858,466,0,20,0,0,0,0,619,297,0,0,1,0,205,0,199,142
12938,6122,1631,763,0,20,0,0,0,0,619,297,0,0,1,0,205,0,326,142
13067,4798,2322,971,0,14,0,0,0,11,625,329,0,0,1,0,184,0,603,291
12924,4620,2221,936,0,14,0,0,0,11,615,329,0,0,1,0,184,0,630,291
12868,4589,2200,931,0,14,0,0,0,11,630,329,0,0,1,0,183,0,619,290
12787,4564,2200,931,0,14,0,0,0,11,629,329,0,0,1,0,127,0,619,290
12700,4483,2200,931,0,14,0,0,0,11,707,329,0,0,1,0,127,0,679,450
12559,4370,2170,931,0,14,0,0,0,11,707,329,0,0,0,0,191,0,976,450
12488,4295,2285,938,0,14,0,0,0,11,707,329,0,0,0,0,215,0,992,450
11939,4285,2357,992,0,14,0,0,0,11,722,329,0,0,0,0,215,0,1563,450
11894,4180,2400,992,0,14,0,0,0,11,722,329,0,0,0,0,215,0,1651,450
