은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무,기타
5569,4718,1048,489,0,74,77,0,40,0,3,7,0,0,0,0,0,0,3,37
5526,4687,1064,525,0,74,89,0,40,0,6,3,0,0,0,0,0,0,3,37
5642,4573,1065,518,0,74,91,0,40,0,6,4,0,0,0,0,0,0,8,37
5712,4572,1062,522,0,74,90,0,38,0,6,4,0,0,0,0,0,0,85,90
5707,4541,1061,530,0,74,92,0,37,0,6,4,0,0,0,0,0,0,125,90
5789,4212,1202,643,0,74,160,0,37,0,6,2,0,0,0,0,0,0,326,95
5765,4069,1024,913,0,74,160,0,37,0,0,2,0,0,0,0,0,0,565,95
5769,4053,1030,918,0,74,161,0,37,0,0,4,0,0,0,0,0,0,562,95
5626,4034,1037,914,0,74,170,0,36,0,0,4,0,0,0,0,0,0,748,95
5633,4021,1034,954,0,74,177,0,36,0,0,4,0,0,0,197,0,0,766,595
5630,4008,1034,954,0,74,177,0,36,0,0,4,0,0,0,197,0,0,766,595
5628,4004,1034,955,0,74,177,0,36,0,0,4,0,0,0,197,0,0,766,595
5622,3992,1046,954,0,74,177,0,36,0,0,4,0,0,0,197,0,0,766,595
5622,3992,1065,956,0,74,176,0,36,0,0,4,0,0,0,197,0,0,784,595
