은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
5459,5231,2402,1915,519,52,200,17,23,3,1,100,10,0,0,0,0,0,33
5461,5189,2402,1968,449,52,205,17,0,3,1,100,10,0,0,0,0,0,33
5504,5072,2424,2000,393,52,202,15,0,3,1,138,10,0,0,0,0,0,45
5734,4825,2581,2139,376,52,239,15,70,3,1,133,10,0,0,0,0,0,269
5703,4773,2654,2151,362,52,236,15,70,3,1,193,10,0,0,0,0,0,276
5920,4108,2770,2208,239,53,190,0,70,0,0,187,0,0,0,0,0,0,260
5934,3842,2705,2293,230,53,188,0,60,0,0,191,0,0,0,0,0,0,430
5921,3692,2747,2480,229,53,121,0,60,0,0,191,0,0,0,0,0,0,462
6016,3686,3092,2582,213,53,111,0,60,0,0,189,0,0,0,0,0,0,461
6110,3989,3400,2706,201,53,110,0,60,0,12,189,0,0,0,0,40,19,765
6101,3790,3372,2989,194,53,110,0,59,0,12,195,0,0,0,0,40,19,816
6079,3628,3443,2953,185,52,109,0,58,0,12,193,0,0,0,0,40,19,1004
5988,3533,3407,2965,149,51,102,0,58,0,12,174,0,0,0,0,40,19,1167
5879,3439,3419,2952,147,51,99,0,57,0,12,174,0,0,0,0,40,19,1281
