은행나무,양버즘나무,느티나무,왕벚나무,은단풍나무,메타세콰이어,회화나무,가죽나무,감나무,수양버들,튜울립나무,칠엽수,포플러,느릅나무,살구나무,무궁화,소나무,목련,이팝나무
4842,1943,108,205,26,0,0,6,34,0,34,0,41,0,99,0,0,133,47
4877,1932,108,205,1,0,0,6,34,0,34,0,37,0,57,0,0,133,117
4792,1887,134,0,1,0,0,6,34,0,18,0,37,0,57,0,0,131,171
4773,1839,167,153,1,0,0,6,34,0,12,0,37,0,57,0,30,143,190
4739,1653,250,223,0,0,40,5,36,0,0,16,6,0,39,0,56,120,164
4745,1629,239,228,0,0,40,5,46,0,0,16,6,0,39,0,56,126,154
4645,1621,260,230,0,0,40,0,46,0,0,16,2,0,39,0,56,126,191
4576,1612,267,230,0,0,40,0,44,0,13,16,0,0,39,0,52,127,193
4585,1577,260,243,0,0,40,0,62,0,13,16,0,0,39,0,52,127,192
4538,1519,279,252,0,0,40,0,62,0,13,16,0,0,39,0,52,127,199
4504,1483,289,255,0,0,38,0,71,0,14,16,0,0,39,0,51,125,201
4463,1440,357,255,0,0,37,0,71,0,14,16,0,0,39,0,51,125,203
4469,1434,361,255,0,0,32,0,71,0,13,16,0,0,39,0,51,125,198
4444,1422,373,262,0,0,37,0,74,0,13,16,0,0,39,0,51,126,198
