year,Seoul,Dobong,Dongdaemun,Dongjak,Eunpyeong,Gangbuk,Gangdong,Gangnam,Gangseo,Geumcheon,Guro,Gwanak,Gwangjin,Jongno,Jung,Jungnang,Mapo,Nowon,Seocho,Seodaemun,Seongbuk,Seongdong,Songpa,Yangcheon,Yeongdeungpo,Yongsan
2006,953,37,36,26,17,16,45,56,35,27,66,29,21,42,35,43,78,41,38,27,31,33,42,45,54,18
2007,959,37,36,26,17,16,45,56,35,25,66,29,24,42,35,44,80,41,42,27,30,35,41,45,54,18
2008,976,37,36,26,17,16,45,56,36,25,67,29,24,43,45,44,82,40,43,27,31,35,42,45,54,18
2009,976,37,36,26,17,16,45,56,36,25,67,29,24,43,45,44,82,40,43,27,31,35,42,45,54,18
2010,1046,44,35,26,17,16,45,56,36,26,69,29,24,50,45,43,85,50,44,32,31,35,44,45,54,52
2011,1271,53,36,43,41,13,63,56,41,62,75,28,24,50,48,46,85,50,50,28,32,32,96,67,86,52
2012,1220,58,38,27,34,13,63,56,40,27,77,28,22,50,48,46,85,50,50,28,32,32,97,69,86,52
2013,1287,59,38,42,35,62,62,57,13,27,79,28,26,50,48,47,62,50,62,28,62,34,97,69,86,52
2014,1309,62,42,42,34,62,62,57,40,27,79,29,27,50,48,50,62,50,50,28,62,35,97,62,99,41
2015,1327,62,42,29,35,29,62,57,40,27,79,27,27,57,48,50,90,50,56,29,76,35,97,69,104,39
2016,1388,62,43,29,35,29,62,59,41,30,79,26,27,57,48,50,90,50,56,103,76,35,97,47,109,38
2017,1357,62,43,29,35,30,65,59,41,30,80,26,27,60,48,50,89,50,56,39,76,35,97,69,113,38
2018,1369,63,43,29,35,30,66,60,41,30,80,26,27,60,48,50,90,50,56,39,78,37,99,69,114,39
2019,1412,63,43,29,35,31,66,60,55,30,81,32,28,70,48,57,92,50,56,39,78,38,99,69,114,39
